"id","label","type"
"248","IJsselstein","place"
"249","52.0177649","place"
"250","5.0403003","place"
"254","zomer","keyword"
"255","vertellen","keyword"
"256","naam","keyword"
"257","water","keyword"
"258","sloot","keyword"
"259","vloeken","keyword"
"260","grote","keyword"
"261","straf","keyword"
"262","kant","keyword"
"263","zwart","keyword"
"264","tegenkomen","keyword"
"265","hooi","keyword"
"266","hooien","keyword"
"267","duiken","keyword"
"268","rechts","keyword"
"269","links","keyword"
"270","sprong","keyword"
"271","naamgeving","keyword"
"272","halverwege","keyword"
"273","grote zwarte hond","keyword"
"274","daggelder","keyword"
"275","boerendaggelder","keyword"
"276","dook","keyword"
"277","nl.verhalenbank.126570","story"
"278","Dat werd wel gezegd, dat er mensen waren die weerwolven konden.","content"
"279","geo45977","place"
"280","Deil","place"
"281","51.8852281","place"
"282","5.2444121999999425","place"
"286","mensen","keyword"
"287","nl.verhalenbank.126131","story"
"288","De weerwolf en, ik herinner me nog, die en die was onderweg en die werd door de weerwolf in de kant gezet en door de weerwolf d'r weer uitgehaald. Je kon in de avond of nacht met een kar van de weg worden gezet. Door de weerwolf, zo'n beest had volgens het spreekwoord, het was meestal zwart as een schaap, grote horens en 't had vurige ogen.","content"
"289","geo45567","place"
"293","opzij","keyword"
"294","vurig","keyword"
"295","schaap","keyword"
"296","kar","keyword"
"297","ogen","keyword"
"298","horens","keyword"
"299","nl.verhalenbank.125634","story"
"300","Heel vroeger woonde d'r een buurman naast ons. Die kwam van Kuilenburg. Toen ging die naar Waardenburg. Daar wier gezeed, dat ie kon weerwolve. Die ken weerwolve. Hij stond d'r voor bekend in Waardenburg. De jongens rende d'r voorbij.","content"
"301","geo44984","place"
"302","Herwijnen","place"
"303","51.8266984","place"
"304","5.1296092","place"
"305","geo44985","place"
"309","buurman","keyword"
"310","bekend","keyword"
"311","verandering","keyword"
"312","transformatie","keyword"
"313","nl.verhalenbank.125803","story"
"314","Vroeger bij Sprokkelenburg onder Heukelum, daar woonde de machinist van 't stoomgemaal, die spookte daar ook. Van die verhalen dat d'r werwolve ware, diere met een ketting aan, dat je ze al van verre kon hore. De mense ware dan zo van streek.","content"
"315","geo45337","place"
"316","Nieuwaal","place"
"317","51.80988929999999","place"
"318","5.1790214000000105","place"
"319","geo45338","place"
"323","horen","keyword"
"324","spoken","keyword"
"325","ketting","keyword"
"326","ver","keyword"
"327","herberg","keyword"
"328","aankomen","keyword"
"329","machinist","keyword"
"330","stoomgemaal","keyword"
"331","vroeger","keyword"
"332","nl.verhalenbank.70537","story"
"333","Als je iemand had met zo'n spleet in z'n haar dat was dan een weerwolf.","content"
"334","geo37709","place"
"335","Bleiswijk","place"
"336","52.0094799","place"
"337","4.5384196","place"
"341","uiterlijk","keyword"
"342","verschijning","keyword"
"343","haar","keyword"
"344","spleet","keyword"
"345","scheiding","keyword"
"346","bijgeloof","keyword"
"347","fabeldier","keyword"
"348","nl.verhalenbank.49790","story"
"349","In Braambosch, een klein gehuchtje onder Riethoven, moet vroeger ook eens een weerwolf hebben rondgezworven. Dat moet een eigenaardig wezen geweest zijn: men hoorde hem lopen, men hoorde hem hijgen, men kon zelfs zijn gewicht op zijn rug voelen, maar men zag hem nooit. Soms had hij een belletje om zijn nek. Dan hoorde men dat belletje rinkelen en dan wist men dat de weerwolf in de buurt was, want ook dan zag men hem niet. Vanwege dat belletje werd de wolf ook wel de ‘Belleman’ genoemd. 
Een man uit Riethoven moet eens kennis met hem gemaakt hebben toen hij ’s avonds in een dronken bui huiswaarts ging. Overmoedig, wat dronken mensen meer zijn, riep hij, toen hij op de plaats kwam waar de weerwolf meestal verbleef: ‘He, Belleman, kom nou maar eens voor de dag, je kunt me niet bang maken!’
En jawel hoor! Daar kwam Belleman aan, want op hetzelfde ogenblik voelde de man uit Riethoven een loodzware last op zijn schouders, die hij behield tot hij geheel uitgeput thuiskwam.
Dan was er nog een slager uit Zeelst die op een avond met zijn makker door de Biezenkuilen wandelde. Plotseling voelde hij hoe er een grote hond tussen zijn benen liep. Hij keek en keek, maar zag niets. Hij vroeg zijn vriend of die misschien iets zag, maar deze schudde het hoofd. Toch voelde de slager net zo lang die hond tussen zijn benen tot hij thuiskwam. Toen pas was hij de hond kwijt. 
Die hond moet ongetwijfeld een weerwolf geweest zijn.
Tenslotte liep vroeger in Veldhoven een man eens met zijn twee kameraden ’s avonds over een stille landweg. Plotseling voelde de man hoe een hond langs zijn benen schuurde. Eerst aan de linker-, dan aan de rechterkant.
‘Ga weg hond, ga weg hond!’ riep hij uit.
De twee kameraden vroegen verwonderd of hij gek geworden was.
‘Maar zien jullie die hond dan niet?’ vroeg de man.
Zijn beide vrienden schudden hun hoofd, nee, ze zagen niets.
En plotseling begon de man als een dolle rond te springen en riep luid: ‘Help! Help! Hij pakt me, hij bijt me! Help! Och, help me dan toch!’
Toen rende de man weg. Hij liep wat hij lopen kon en was weldra niet meer te zien.
Ook deze hond moet ongetwijfeld een weerwolf zijn geweest, die zich onzichtbaar gemaakt had en met de man had willen stoeien.
Het moet echt geen flauwekul geweest zijn, want de man heeft later de schrammen op zijn rug en wangen laten zien. 
Niet aan mij, want daarvoor is dit verhaal te lang geleden gebeurd.","content"
"350","geo41459","place"
"351","Veldhoven","place"
"352","51.4271276","place"
"353","5.4236264","place"
"354","geo41525","place"
"355","Braambosch","place"
"356","51.3436735","place"
"357","5.4130802","place"
"361","pakken","keyword"
"362","roepen","keyword"
"363","onzichtbaar","keyword"
"364","voelen","keyword"
"365","vragen","keyword"
"366","thuiskomen","keyword"
"367","dronken","keyword"
"368","last","keyword"
"369","nek","keyword"
"370","benen","keyword"
"371","bijten","keyword"
"372","kameraad","keyword"
"373","slager","keyword"
"374","eigenaardig","keyword"
"375","waargebeurd","keyword"
"376","rinkelen","keyword"
"377","behouden","keyword"
"378","gehucht","keyword"
"379","tevoorschijn","keyword"
"380","gewicht","keyword"
"381","huiswaarts","keyword"
"382","rennen","keyword"
"383","hijgen","keyword"
"384","schuren","keyword"
"385","overmoedig","keyword"
"386","wezen","keyword"
"387","verblijven","keyword"
"388","belletje","keyword"
"389","rondzwerven","keyword"
"390","loodzwaar","keyword"
"391","uitgeput","keyword"
"392","rondspringen","keyword"
"393","schra","keyword"
"394","nl.verhalenbank.50866","story"
"395","Die zelfde vent kon ook weerwolven. Het was een wonderbaarlijke kerel. Hij kon toveren. Geregeld kwam daar* een zwarte hond over de brug. Dat was die boer zeiden ze dan. Die kwam weerwolven!

*in Meerkerk","content"
"396","geo36160","place"
"397","Meerkerk","place"
"398","51.9184658","place"
"399","4.9899362","place"
"400","geo42762","place"
"404","brug","keyword"
"405","toveren","keyword"
"406","toverij","keyword"
"407","gedaanteverandering","keyword"
"408","wonderbaarlijk","keyword"
"409","vent","keyword"
"410","gedaanteverwisseling","keyword"
"411","metamorfose","keyword"
"412","nl.verhalenbank.127716","story"
"413","[De weerwolf:] Dat was een soort boeman, daar moest je voor oppassen. ","content"
"414","geo47460","place"
"418","oppassen","keyword"
"419","boeman","keyword"
"420","nl.verhalenbank.21705","story"
"421","Ik heb een man gekend te Hogeland. Die zag scheel. Ze zeiden dan: ""Denk er om, hoor. Die kan weerwolven.""

","content"
"422","geo9936","place"
"423","Houten","place"
"424","52.0278426","place"
"425","5.1630019","place"
"429","scheel","keyword"
"430","verdenken","keyword"
"431","nl.verhalenbank.72678","story"
"432","De weerwolf, de weerwolf. Nou je 't zegt. D'r woonde vroeger in Blokland een vrouw. Die woonde daar op d'r eige alleen. En die vrouw die beweerde, ze hoorde iedere avond de weerwolf buite tekeergaan. Iedere avond tusse half elf en twaalf uur. Ze sloot alles d'r voor af.","content"
"433","geo44214","place"
"434","Montfoort","place"
"435","52.0362127","place"
"436","4.95185860000004","place"
"437","geo44215","place"
"441","twaalf","keyword"
"442","vrouw","keyword"
"443","mythisch","keyword"
"444","nl.verhalenbank.128075","story"
"445","Vroeger waren er mensen, daar werd van gezegd dat ze konden weerwolven, veranderen in een zwarte hond. ","content"
"446","geo47704","place"
"447","Wijk en Aalburg","place"
"448","51.757362","place"
"449","5.1073758","place"
"453","wisselen","keyword"
"454","zwarte hond","keyword"
"455","nl.verhalenbank.125549","story"
"456","[Weerwolven:] Dan hadde zekere broers, die dede een berehuid om, de Wal op. Maar ze krege wel is genadig op d'r donder.","content"
"457","geo44810","place"
"458","geo44811","place"
"462","wal","keyword"
"463","berenhuid","keyword"
"464","donder","keyword"
"465","bang maken","keyword"
"466","doen alsof","keyword"
"467","angst aanjagen","keyword"
"468","nl.verhalenbank.72615","story"
"469","Ja, de weerwolf. ""Pas op voor de weerwolf!"" zeje ze bij ons vroeger altijd. De weerwolf die verscheurde de schape.","content"
"470","geo44091","place"
"471","Zevenhuizen","place"
"472","52.0116076","place"
"473","4.58769830000006","place"
"474","geo44092","place"
"478","waarschuwen","keyword"
"479","waarschuwing","keyword"
"480","mythe","keyword"
"481","verscheuren","keyword"
"482","schapen","keyword"
"483","sprookjesfiguur","keyword"
"484","nl.verhalenbank.19963","story"
"485","In wjerwolf, dat wie hjoed in minske, moarn in dier.

","content"
"486","geo8233","place"
"487","Buitenpost","place"
"488","53.2524947","place"
"489","6.1503754","place"
"490","Schievink, Abraham (Bram)","person unknown_gender narrator"
"493","morgen","keyword"
"494","middag","keyword"
"495","'s morgens","keyword"
"496","'s middags","keyword"
"497","nl.verhalenbank.13453","story"
"498","Spookdieren
Mij is eens door drie verschillende personen op zeer verschillende tijden meegedeeld dat op de Waaldijk tussen Boven-Leeuwen en Druten 's avonds in pikdonker plotseling een abnormale grote hond, die plotseling verscheen, hen zwijgend met vurige ogen volgde en even plots aan de grens van Druten verdween. Beide personen waren niet bijgelovig maar hadden van angst 't zweet op de rug staan van angst, temeer daar de hond verdween bij een boerderij waar 't niet ""pluis"" scheen te zijn. Een knecht op deze boerderij vertelde mij eens hoe verscheidene malen 's nachts de koeien om klokslag 12 uur opsprongen en staldeuren openvlogen zonder 'n aanwijsbare oorzaak. De boerderij heette: ""Onrust"" en is in april 1945 door Duitsers met handgranaten in brand gegooit, hoewel er Engelse bezetting op de boerderij was. Genoemde knecht was een betrouwbaar persoon en niet voor een kleintje vervaard. Doch telkens schrok hij. ","content"
"499","geo3265","place"
"500","Puiflijk","place"
"501","51.8784055","place"
"502","5.5909275","place"
"503","boerderij","keyword"
"504","middernacht","keyword"
"505","ontwaken","keyword"
"506","knecht","keyword"
"507","land","keyword"
"508","openen","keyword"
"509","koe","keyword"
"510","loslaten","keyword"
"511","vuur","keyword"
"512","oog","keyword"
"513","vasthouden","keyword"
"514","stilte","keyword"
"515","verlaten","keyword"
"516","grens","keyword"
"517","opspringen","keyword"
"518","ooggetuige","keyword"
"519","staldeur","keyword"
"520","wandeling","keyword"
"521","gloed","keyword"
"522","nl.verhalenbank.22378","story"
